Institution Name,Has Resource(s),Has Project(s),IPEDS,Weird Stuff,NCES,"Google Lat, Lon",Group,_merge,UNITID,LON,LAT,unitid,name,city,hbcu,tribal,msi,iclevel,Benefited From
North Carolina State University,TRUE,TRUE,199193,,,,,both,199193,-78.674517,35.785111,199193,North Carolina State University at Raleigh,Raleigh,FALSE,FALSE,FALSE,Four or more years,TRUE
Northeastern University,TRUE,TRUE,167358,,,,,both,167358,-71.088782,42.339992,167358,Northeastern University,Boston,FALSE,FALSE,FALSE,Four or more years,TRUE
Portland State University,TRUE,TRUE,209807,,,,,both,209807,-122.686289,45.511601,209807,Portland State University,Portland,FALSE,FALSE,FALSE,Four or more years,TRUE
Rensselaer Polytechnic Institute,FALSE,TRUE,194824,,,,,both,194824,-73.676646,42.729978,194824,Rensselaer Polytechnic Institute,Troy,FALSE,FALSE,FALSE,Four or more years,TRUE
Rice University,TRUE,TRUE,227757,,,,,both,227757,-95.402035,29.717897,227757,Rice University,Houston,FALSE,FALSE,FALSE,Four or more years,TRUE
Rochester Institute of Technology,TRUE,TRUE,195003,,,,,both,195003,-77.67386,43.084188,195003,Rochester Institute of Technology,Rochester,FALSE,FALSE,FALSE,Four or more years,TRUE
SUNY Upstate Medical University,FALSE,TRUE,196307,,,,,both,196307,-76.140009,43.041819,196307,Upstate Medical University,Syracuse,FALSE,FALSE,FALSE,Four or more years,TRUE
Stanford University,TRUE,TRUE,243744,,,,,both,243744,-122.167359,37.429434,243744,Stanford University,Stanford,FALSE,FALSE,FALSE,Four or more years,TRUE
Steadman Philippon Research Institute,FALSE,TRUE,,,,"39.64300596351337, -106.38163156059336",,both,,-106.3816316,39.64300596,,,,,,,,TRUE
Syracuse University,TRUE,TRUE,196413,,,,,both,196413,-76.136975,43.040176,196413,Syracuse University,Syracuse,FALSE,FALSE,FALSE,Four or more years,TRUE
The College of New Jersey,TRUE,TRUE,187134,,,,,both,187134,-74.778791,40.268651,187134,The College of New Jersey,Ewing,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Arizona,TRUE,TRUE,104179,,,,,both,104179,-110.950815,32.232672,104179,University of Arizona,Tucson,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Arkansas,TRUE,TRUE,106397,,,,,both,106397,-94.176981,36.070009,106397,University of Arkansas,Fayetteville,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Arkansas at Little Rock,TRUE,TRUE,106245,,,,,both,106245,-92.339778,34.723254,106245,University of Arkansas at Little Rock,Little Rock,FALSE,FALSE,FALSE,Four or more years,TRUE
"University of California, Berkeley",FALSE,TRUE,110635,,,,,both,110635,-122.260463,37.871918,110635,University of California-Berkeley,Berkeley,FALSE,FALSE,FALSE,Four or more years,TRUE
"University of California, Merced",FALSE,TRUE,445188,,,,,both,445188,-120.424944,37.366237,445188,University of California-Merced,Merced,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Central Florida,FALSE,TRUE,132903,,,,,both,132903,-81.200889,28.602159,132903,University of Central Florida,Orlando,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Colorado Anschutz Medical Campus,FALSE,TRUE,126562,,,,,both,126562,-104.837722,39.745149,126562,University of Colorado Denver/Anschutz Medical Campus,Denver,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Colorado Denver,TRUE,TRUE,128300,,,,,both,128300,-104.983277,39.74521,,,,,,,,TRUE
University of Connecticut,TRUE,TRUE,129020,,,,,both,129020,-72.249948,41.809098,129020,University of Connecticut,Storrs,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Iowa,TRUE,TRUE,153658,,,,,both,153658,-91.536425,41.661935,153658,University of Iowa,Iowa City,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Massachusetts Lowell,FALSE,TRUE,166513,,,,,both,166513,-71.326809,42.652864,166513,University of Massachusetts-Lowell,Lowell,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Michigan,TRUE,TRUE,170976,TRUE,,,,both,170976,-83.742769,42.275921,170976,University of Michigan-Ann Arbor,Ann Arbor,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Montana,FALSE,TRUE,180489,,,,,both,180489,-113.982912,46.859312,180489,The University of Montana,Missoula,FALSE,FALSE,FALSE,Four or more years,TRUE
University of New Mexico,TRUE,TRUE,187985,,,,,both,187985,-106.620155,35.083868,187985,University of New Mexico-Main Campus,Albuquerque,FALSE,FALSE,TRUE,Four or more years,TRUE
University of Oregon,FALSE,TRUE,209551,,,,,both,209551,-123.075792,44.045146,209551,University of Oregon,Eugene,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Pittsburgh,TRUE,TRUE,215293,,,,,both,215293,-79.953254,40.444388,215293,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Puerto Rico - Mayaguez,TRUE,TRUE,243197,,,,,both,243197,-67.139172,18.211142,243197,University of Puerto Rico-Mayaguez,Mayaguez,FALSE,FALSE,TRUE,Four or more years,TRUE
University of Rochester,FALSE,TRUE,195030,,,,,both,195030,-77.631202,43.126397,195030,University of Rochester,Rochester,FALSE,FALSE,FALSE,Four or more years,TRUE
University of South Carolina,FALSE,TRUE,218663,,,,,both,218663,-81.026935,33.996788,218663,University of South Carolina-Columbia,Columbia,FALSE,FALSE,FALSE,Four or more years,TRUE
University of South Dakota,TRUE,TRUE,219471,,,,,both,219471,-96.925283,42.786019,219471,University of South Dakota,Vermillion,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Texas at Austin,TRUE,TRUE,228778,,,,,both,228778,-97.738273,30.282825,228778,The University of Texas at Austin,Austin,FALSE,FALSE,FALSE,Four or more years,TRUE
University of Utah,TRUE,TRUE,230764,,,,,both,230764,-111.846044,40.762484,230764,University of Utah,Salt Lake City,FALSE,FALSE,FALSE,Four or more years,TRUE
Utah State University,FALSE,TRUE,230728,,,,,both,230728,-111.81391,41.740748,230728,Utah State University,Logan,FALSE,FALSE,FALSE,Four or more years,TRUE
Villanova University,TRUE,TRUE,216597,,,,,both,216597,-75.340502,40.036463,216597,Villanova University,Villanova,FALSE,FALSE,FALSE,Four or more years,TRUE
Wayne State University,TRUE,TRUE,172644,,,,,both,172644,-83.068998,42.358994,172644,Wayne State University,Detroit,FALSE,FALSE,FALSE,Four or more years,TRUE
Wichita State University,FALSE,TRUE,156125,,,,,both,156125,-97.292361,37.718882,156125,Wichita State University,Wichita,FALSE,FALSE,FALSE,Four or more years,TRUE
