Institution Name,Has Resource(s),Has Project(s)
SingAREN,True,False
South Dakota School of Mines and Technology,False,True
South Dakota State University,False,True
Southern Illinois University,False,True
Southern Illinois University Edwardsville,True,True
Southern Methodist University,True,True
Southwest Oklahoma State University,False,True
Space Telescope Science Institute,False,True
Spelman College,False,True
Stanford University,True,True
State University of New York at Albany,False,True
State University of New York at Binghamton,False,True
State University of New York at Buffalo,False,True
State University of New York at Stony Brook,False,True
Steadman Philippon Research Institute,False,True
Stony Brook University,True,False
Susquehanna University,True,False
Swarthmore College,False,True
Swinburne University of Technology,True,False
Syracuse University,True,True
Tata Institute of Fundamental Research,True,False
Tennessee Tech University,False,True
Texas A&M University,True,True
Texas Advanced Computing Center,True,False
Texas Tech University,True,True
The Citadel,False,True
The College of New Jersey,True,True
The Ohio State University,True,True
The Pennsylvania State University,False,True
The University of Alabama at Birmingham,False,True
The University of Chicago,False,True
The University of Kansas,False,True
Thomas Jefferson National Accelerator Facility,True,False
Toyota Technological Institute at Chicago,False,True
Tufts University,True,True
UC Irvine,True,False
UC Santa Barbara,True,False
UCSB,True,False
UMSNH,True,False
UNC Chapel Hill,False,True
US ATLAS,False,True
USDA Agricultural Research Service,False,True
UT Southwestern,False,True
United States Department of Agriculture,False,True
Universidad Autonoma de Manizales,True,False
Universidad Autonoma del Caribe,True,False
Universidad Catolica de Colombia,True,False
Universidad Industrial de Santander,True,False
Universidad Pontificia Bolivariana,True,False
Universidad Tecnologica de Bolivar,True,False
Universidad de Caldas,True,False
Universidad de Medellin,True,False
"Universidad de Puerto Rico, Rio Piedras Campus (UPRRP)",False,True
Universidad de los Andes,True,False
Universidad del Valle,True,False
Universidade Estadual Paulista,True,False
Universidade de Sao Paulo,True,False
Universidade de São Paulo - Laboratório de Computação Científica Avançada,True,False
Universidade do Estado do Rio de Janeiro,True,False
Universite catholique de Louvain,True,False
University of Alabama,True,True
University of Alabama at Birmingham,True,False
University of Alaska Fairbanks,False,True
University of Albany,False,True
University of Amsterdam,True,False
University of Arizona,True,True
University of Arkansas,True,True
University of Arkansas at Little Rock,True,True
University of Bern,True,False
University of Birmingham,True,False
University of Buffalo,True,False
University of California Davis,True,False
University of California Los Angeles,True,False
University of California Riverside,True,False
University of California San Diego,True,False
University of California Santa Cruz,True,True
"University of California, Berkeley",False,True
"University of California, Davis",False,True
"University of California, Irvine",False,True
"University of California, Los Angeles",False,True
"University of California, Merced",False,True
"University of California, Riverside",False,True
"University of California, San Diego",False,True
"University of California, San Francisco",False,True
"University of California, Santa Barbara",False,True
"University of California, Santa Cruz",False,True
University of Campinas,True,False
University of Central Florida,False,True
University of Chicago,True,True
University of Cincinnati,False,True
University of Colorado,True,True
University of Colorado Anschutz Medical Campus,False,True
University of Colorado Boulder,False,True
University of Colorado Denver,True,True
University of Connecticut,True,True
University of Connecticut Health Center,True,True
University of Delaware,False,True
University of Edinburgh,True,True
University of Florida,True,True
University of Georgia,True,False
University of Guam,False,True
University of Hawaii,True,True
University of Hawaii at Manoa,False,True
University of Illinois,False,True
University of Illinois Chicago,True,True
University of Illinois Urbana-Champaign,False,True
University of Illinois at Urbana Champaign,True,False
University of Iowa,True,True
University of Johannesburg,True,False
University of Kentucky,False,True
University of Louisville,False,True
University of Macau,False,True
University of Maine,False,True
University of Maine System,True,False
University of Maryland,True,True
University of Maryland Baltimore,False,True
University of Maryland Center for Environmental Science,False,True
University of Massachusetts,False,True
University of Massachusetts - Amherst,True,False
University of Massachusetts Amherst,False,True
University of Massachusetts Boston,False,True
University of Massachusetts Lowell,False,True
University of Michigan,True,True
University of Minnesota,True,True
University of Minnesota Duluth,False,True
University of Mississipi,False,True
University of Mississippi,True,True
University of Missouri,False,True
University of Missouri-Columbia,False,True
University of Montana,False,True
University of Nebraska,True,True
University of Nebraska - Lincoln,False,True
University of Nebraska Medical Center,False,True
University of Nebraska Omaha,False,True
University of Nebraska-Lincoln,False,True
"University of Nevada, Reno",False,True
University of New England,False,True
University of New Haven,False,True
University of New Mexico,True,True
University of North Carolina,True,False
University of North Carolina at Chapel Hill,False,True
"University of North Carolina, Chapel Hill",False,True
University of North Dakota,False,True
University of Northern Iowa,True,True
University of Notre Dame,True,True
University of Oklahoma,True,True
University of Oregon,False,True
University of Oxford,False,True
University of Pennsylvania,True,True
University of Pittsburgh,True,True
University of Puerto Rico,False,True
University of Puerto Rico - Mayaguez,True,True
University of Rochester,False,True
University of Sheffield,False,True
University of South Carolina,False,True
University of South Dakota,True,True
University of South Florida,True,True
University of Southern California,True,True
University of Tennessee,False,True
University of Tennessee Chattanooga,True,False
University of Tennessee at Chattanooga,False,True
"University of Tennessee, Knoxville",False,True
University of Texas Arlington,True,False
University of Texas Southwestern Medical Center,False,True
University of Texas at Arlington,False,True
University of Texas at Austin,True,True
University of Texas at Dallas,True,True
University of Texas at El Paso,False,True
University of Toledo,False,True
University of Tulsa,False,True
University of Utah,True,True
University of Venda,False,True
University of Vermont,False,True
University of Virginia,True,True
University of Washington,True,True
University of Wisconsin,True,False
University of Wisconsin Milwaukee,True,False
University of Wisconsin-Madison,False,True
University of Wisconsin-Milwaukee,False,True
University of Wyoming,False,True
Utah State University,False,True
Utrecht University,False,True
Vanderbilt University,True,True
Villanova University,True,True
Virginia Tech,True,False
Virginia Tech University,False,True
Washington State University,False,True
Washington University in St. Louis,False,True
Wayne State University,True,True
Wesleyan University,False,True
West Chester University of Pennsylvania,False,True
West Texas A&M University,True,False
Western Washington University,False,True
Wichita State University,False,True
Worcester Polytechnic Institute,False,True
Wright State Research Institute,False,True
Yale University,False,True
